,name,url,file_name,path
19,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,/attachment?id=0VZP2Dr9KX&name=pdf,BaselineDefensesforAdversarialAttacksAgainstAlignedLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
20,On the Humanity of Conversational AI: Evaluating the Psychological Portrayal of LLMs,/attachment?id=H3UayAQWoE&name=pdf,OntheHumanityofConversationalAIEvaluatingthePsychologicalPortrayalofLLMs.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
21,Fundamental Limitation of Alignment in Large Language Models,/attachment?id=4qFIkOhq24&name=pdf,FundamentalLimitationofAlignmentinLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
22,Open-Source Can Be Dangerous: On the Vulnerability of Value Alignment in Open-Source LLMs,/attachment?id=NIouO0C0ex&name=pdf,OpenSourceCanBeDangerousOntheVulnerabilityofValueAlignmentinOpenSourceLLMs.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
23,Understanding Hidden Context in Preference Learning: Consequences for RLHF,/attachment?id=0tWTxYYPnW&name=pdf,UnderstandingHiddenContextinPreferenceLearningConsequencesforRLHF.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
24,(InThe)WildChat: 570K ChatGPT Interaction Logs In The Wild,/attachment?id=Bl8u7ZRlbM&name=pdf,InTheWildChat570KChatGPTInteractionLogsInTheWild.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
25,"Tricking LLMs into Disobedience: Understanding, Analyzing, and Preventing Jailbreaks",/attachment?id=I0xugUnvVzK&name=pdf,"TrickingLLMsintoDisobedienceUnderstanding,Analyzing,andPreventingJailbreaks.pdf",C:\Users\zhangyongting\Desktop\work\openreview\pdf
26,Jailbreak and Guard Aligned Language Models with Only Few In-Context Demonstrations,/attachment?id=WngUxIgvf_&name=pdf,JailbreakandGuardAlignedLanguageModelswithOnlyFewInContextDemonstrations.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
27,Shield and Spear: Jailbreaking Aligned LLMs with Generative Prompting,/attachment?id=1xhAJSjG45&name=pdf,ShieldandSpearJailbreakingAlignedLLMswithGenerativePrompting.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
28,False Sense of Security: A Study on the Effectivity of Jailbreak Detection in Banking Apps,/attachment?id=2ijn-NvtgUT&name=pdf,FalseSenseofSecurityAStudyontheEffectivityofJailbreakDetectioninBankingApps.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
29,Jailbreaking your Reference Lists: the OpenCitations Project Strikes Again,/attachment?id=sz-Vv3ioka&name=pdf,JailbreakingyourReferenceListstheOpenCitationsProjectStrikesAgain.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
30,VJPrompt: VAE-like Jailbreaking Prompt Strategy to Unmask Deceptive Power of Large Language Models,/attachment?id=DXfjOFFZ1E&name=pdf,VJPromptVAElikeJailbreakingPromptStrategytoUnmaskDeceptivePowerofLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
31,On the Adversarial Robustness of Multi-Modal Foundation Models,/attachment?id=Iyc53R2eQc&name=pdf,OntheAdversarialRobustnessofMultiModalFoundationModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
32,Baseline Defenses for Adversarial Attacks Against Aligned Language Models,/attachment?id=ejYMtn8oSaG&name=pdf,BaselineDefensesforAdversarialAttacksAgainstAlignedLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
33,Fundamental Limitations of Alignment in Large Language Models,/attachment?id=s0c2fL4bLcV&name=pdf,FundamentalLimitationsofAlignmentinLargeLanguageModels.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
34,Language Model Unalignment: Parametric Red-Teaming to Expose Hidden Harms and Biases,/attachment?id=Ce6KowH39Gk&name=pdf,LanguageModelUnalignmentParametricRedTeamingtoExposeHiddenHarmsandBiases.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
35,Red-Teaming Large Language Models using Chain of Utterances for Safety-Alignment,/attachment?id=jkcHYEfPv3&name=pdf,RedTeamingLargeLanguageModelsusingChainofUtterancesforSafetyAlignment.pdf,C:\Users\zhangyongting\Desktop\work\openreview\pdf
